1	3006	5901	4	[0.00 - 0.00 - 0.02 - 0.98]
2	2797	5852	1	[0.53 - 0.19 - 0.02 - 0.27]
3	2794	5830	4	[0.00 - 0.00 - 0.01 - 0.98]
4	2866	5817	1	[0.93 - 0.06 - 0.00 - 0.01]
5	2814	5759	4	[0.04 - 0.12 - 0.39 - 0.46]
6	2810	5751	4	[0.01 - 0.04 - 0.42 - 0.53]
7	3171	5710	1	[0.95 - 0.04 - 0.00 - 0.00]
8	3155	5706	1	[0.97 - 0.02 - 0.00 - 0.00]
9	2906	5706	3	[0.00 - 0.21 - 0.73 - 0.05]
10	2686	5642	1	[0.91 - 0.08 - 0.00 - 0.01]
11	2779	5636	1	[0.60 - 0.34 - 0.01 - 0.04]
12	2606	5624	3	[0.05 - 0.26 - 0.46 - 0.22]
13	3076	5592	4	[0.00 - 0.02 - 0.38 - 0.59]
14	3070	5595	3	[0.00 - 0.06 - 0.74 - 0.20]
15	3073	5594	3	[0.00 - 0.03 - 0.73 - 0.25]
16	2884	5561	1	[0.55 - 0.43 - 0.01 - 0.01]
17	2667	5490	1	[0.89 - 0.08 - 0.00 - 0.03]
18	3186	5482	1	[0.50 - 0.44 - 0.02 - 0.05]
19	3288	5472	3	[0.01 - 0.05 - 0.57 - 0.38]
20	3544	5468	4	[0.00 - 0.00 - 0.03 - 0.96]
21	3078	5434	2	[0.24 - 0.62 - 0.06 - 0.08]
22	2906	5426	1	[0.68 - 0.31 - 0.00 - 0.01]
23	2419	5424	4	[0.00 - 0.01 - 0.05 - 0.94]
24	3167	5400	4	[0.00 - 0.01 - 0.19 - 0.80]
25	3138	5400	3	[0.09 - 0.31 - 0.43 - 0.17]
26	3141	5398	2	[0.11 - 0.44 - 0.21 - 0.23]
27	3087	5389	1	[0.71 - 0.19 - 0.02 - 0.08]
28	3154	5386	4	[0.00 - 0.02 - 0.20 - 0.79]
29	3106	5383	4	[0.02 - 0.16 - 0.35 - 0.47]
30	3169	5376	4	[0.00 - 0.01 - 0.46 - 0.53]
31	3059	5352	3	[0.00 - 0.15 - 0.80 - 0.05]
32	3268	5352	4	[0.18 - 0.19 - 0.13 - 0.49]
33	3309	5343	1	[0.49 - 0.30 - 0.02 - 0.19]
34	3257	5336	4	[0.02 - 0.10 - 0.19 - 0.70]
35	2849	5331	1	[0.92 - 0.07 - 0.00 - 0.00]
36	3235	5323	4	[0.00 - 0.03 - 0.39 - 0.58]
37	3256	5321	2	[0.08 - 0.64 - 0.22 - 0.06]
38	3264	5320	4	[0.00 - 0.00 - 0.05 - 0.94]
39	3171	5322	4	[0.21 - 0.14 - 0.04 - 0.61]
40	3383	5325	3	[0.03 - 0.15 - 0.45 - 0.37]
41	3711	5314	4	[0.00 - 0.00 - 0.02 - 0.98]
42	3269	5311	4	[0.00 - 0.01 - 0.08 - 0.92]
43	3278	5300	1	[0.43 - 0.29 - 0.05 - 0.22]
44	3236	5298	4	[0.00 - 0.01 - 0.09 - 0.90]
45	3242	5299	4	[0.03 - 0.09 - 0.20 - 0.68]
46	3304	5299	4	[0.00 - 0.04 - 0.28 - 0.67]
